ID,logFC,AveExpr,t,P.Value,adj.P.Val,B
NR4A1,3.3765196301106704,10.494692128133634,7.705656247713938,5.228299930749959e-9,4.42575589137984e-5,10.389789658477248
FNIP2,2.330440340562795,6.28925866270894,7.243517362931277,2.0001560434698544e-8,6.67457535168753e-5,9.16562503915712
KLF10,2.3481664121648125,8.505779493486,7.088294688924141,3.153963544802141e-8,6.67457535168753e-5,8.748602256942394
PRKAG2,3.8993806646298275,7.26354094585972,7.273076010964448,3.141353147382975e-8,6.67457535168753e-5,8.506393610849639
EGR1,5.351418700829687,8.787865186800207,6.919375820482988,5.1901829401091884e-8,8.466241069976221e-5,8.291716019533869
ZFP36,3.541307920409756,6.5511509295334704,6.87031302325387,6.000879671572041e-8,8.466241069976221e-5,8.158442841563101
CCL2,3.035597967336197,5.150121829554984,6.908921029167921,1.229374932988077e-7,1.2540869901198518e-4,7.4851715300519315
SDC4,2.0070438358889726,7.5260128211364385,6.601972902935627,1.331750475880203e-7,1.2540869901198518e-4,7.425329478379607
BHLHE40,2.3531515632378257,8.532865091805048,6.601570939889703,1.333347065691514e-7,1.2540869901198518e-4,7.4242262780132
SCML1,1.4258834043386663,5.488756783138265,6.495084739879738,1.832146025418085e-7,1.5509116105164088e-4,7.131482024427986
THBS1,3.27233861978835,6.061541575193439,6.247094119988907,4.3524550070249505e-7,3.349411966769655e-4,6.339176372727242
PDK4,3.315882240743278,9.640468342825805,6.056867763677879,6.822513906753788e-7,4.8127150183892346e-4,5.917875693108386
GABARAPL1,1.7930774185312837,6.951942225000365,5.96280647093815,9.057214666660361e-7,5.246474081796463e-4,5.6558855000475186
PPRC1,2.018861815511335,6.950708723515257,5.9569482964242315,9.218547703429328e-7,5.246474081796463e-4,5.639555147787308
VEGFA,1.7154942289907096,8.229874856679414,5.95078954079122,9.391269046626552e-7,5.246474081796463e-4,5.622385290012629
SLC19A2,2.027847797911705,7.905072722326594,5.932734900641855,9.91654876653791e-7,5.246474081796463e-4,5.572041889831817
CSRNP1,2.3279170346700138,5.629600768391703,5.953102164030622,1.1646121177927405e-6,5.799083280656205e-4,5.383163722346451
NABP1,2.15163890856065,5.297940143836542,5.839290943918163,1.3144809703234386e-6,6.181711896548837e-4,5.31127983623782
ICAM1,2.1378072901700897,5.091697927684048,5.880783929083836,1.4389059713945582e-6,6.410704762028913e-4,5.223117607950903
FOSL2,1.9555187626774488,6.426879943684134,5.782988389896529,1.5579082687668777e-6,6.59384674755581e-4,5.154018964600756
ETS2,1.6178563167308964,5.274032925388171,5.671430906544536,2.181773483131998e-6,8.794625016529696e-4,4.842175141816528
MBP,1.2234021649634146,7.022004167065382,5.586536688990112,2.8193670361270777e-6,0.0010376496504702485,4.604709362841036
PIM1,1.7368115585205857,5.419296910667758,5.619907090483043,2.8013947222971007e-6,0.0010376496504702485,4.604485264663718
KDM6B,2.068421990625959,6.200026646436763,5.409373410344654,4.8138573224301426e-6,0.001697887593098798,4.109000888180618
NR1D1,-1.856861879466881,6.700619727971692,-5.332917545795958,6.063345084991676e-6,0.002053048645778182,3.8951270374267546
NUFIP2,1.0276174772604403,7.096402090710142,5.3195911063503685,6.312123319370627e-6,0.0020550816884027834,3.8578573110581944
GADD45B,3.7593410811802883,6.114843429516311,5.300454721260603,7.253063398393344e-6,0.0022739696913851725,3.7289007010092314
PCNT,1.2514727758922204,8.563717802141136,5.252014293174838,7.739255924037262e-6,0.0023397429070348363,3.668924200331946
BTG2,2.9554993557892573,7.9851991431166,5.1806656669718105,9.596179799900374e-6,0.0028010917933157468,3.4695788343110534
CSF1,1.7323700567846751,5.106907997574766,5.08888070842809,1.2650998372249268e-5,0.003569690040703002,3.21340487964322
IL6R,1.4648162036752472,5.5448541259698665,4.9760187386247745,1.776113794788853e-5,0.004843416027332003,2.898952446398371
BCL3,2.241491481886803,4.920836355254054,5.04002575945747,1.830942857349369e-5,0.004843416027332003,2.8540532124075195
ATF3,3.0751205929918726,6.5523530512084,4.889477154410798,2.3026727951983868e-5,0.005906704609501316,2.658350638540683
MIDN,2.0464002426893977,6.278991400239002,4.847043647454363,2.614811387957941e-5,0.006510111293842344,2.540571253813517
RIOK1,1.2276945069312086,4.9900784311182145,4.824448311561009,2.7977841029244525e-5,0.006766640694644426,2.477912260084408
TET1,-1.2650961065904296,5.054506431166868,-4.777638614213508,3.2181823692488466e-5,0.007567198265469857,2.3482393867799454
FOS,4.16256157693356,7.846132272546213,4.796112322565655,3.4582745969454016e-5,0.0077816070967803175,2.2937551390320596
JMJD1C,1.2145360199584987,7.452674794592462,4.7501885551101655,3.493219960751944e-5,0.0077816070967803175,2.2722861446571043
